objectid,title,description,location,date,time,bruno_age,bruno_position,format,filename,filesize,rights
bh01,Bruno in Bed,Bruno laying on a bed in the living room. ,"West Des Moines, Iowa",2017-08-26,1:26:45 PM,9,Laying,PNG,IMG_1284.png,1.1 MB,2017 Allison Honz
bh02,Bruno Warming Up,Bruno by a heating vent in the bathroom. ,"West Des Moines, Iowa",2017-12-14,5:46:36 PM,9,Laying,PNG,IMG_2242.png,12.5 MB,2017 Allison Honz
bh03,Bruno Gets Comfy,Bruno laying on the top of a pillow on the patio.,"West Des Moines, Iowa",2018-12-11,4:10:48 PM,10,Laying,PNG,IMG_4747.png,9.5 MB,2018 Allison Honz
bh04,Bruno Getting Some Sun,Bruno in the sun on a chair on the porch. ,"Scottsdale, Arizona",2020-12-15,12:40:42 PM,12,Laying,PNG,IMG_7929.png,15.7 MB,2020 Allison Honz
bh05,Bruno Sleeps Weird,Bruno sleeping in an odd position on a road trip. ,"Denver, Colorado",2021-08-07,6:05:29 PM,13,Laying,PNG,IMG_9837.png,13.2 MB,2021 Allison Honz
bh06,Bruno in a Bag,Bruno laying in a beach bag for an upcoming trip. ,"West Des Moines, Iowa",2021-10-22,8:23:39 AM,13,Laying,PNG,IMG_0135.png,14.7 MB,2021 Allison Honz
bh07,Bruno and His Bandana,Bruno wearing his Encanto bandana.,"West Des Moines, Iowa",2022-02-10,3:25:30 PM,14,Laying,PNG,IMG_4927.png,19.8 MB,2022 Allison Honz
bh08,Bruno Suntanning,Bruno laying on the pavement outside. ,"Scottsdale, Arizona",2022-03-13,9:55:47 AM,14,Laying,PNG,IMG_0641.png,17.3 MB,2022 Allison Honz
bh09,Bruno Takes a Drive,Bruno sitting on Allison's lap in the car. ,"Centennial, Colorado",2022-03-18,6:20:11 PM,14,Sitting,PNG,IMG_5143.png,15 MB,2022 Allison Honz
bh10,Bruno Naps in the Car,Bruno asleep on Allison's lap on a road trip. ,"Denver, Colorado",2023-05-31,8:09:36 AM,15,Laying,PNG,IMG_4584.png,15.4 MB,2023 Allison Honz
bh11,Bruno in a Gold Coat,Bruno sitting on the living room floor in a puffer coat.,"West Des Moines, Iowa",2023-12-30,3:23:12 PM,15,Sitting,PNG,IMG_6517.png,15.1 MB,2023 Allison Honz
bh12,Bruno on a Chair,Bruno laying on a chair in the living room. ,"Scottsdale, Arizona",2024-08-15,1:36:06 PM,16,Laying,PNG,IMG_3252.png,21.1 MB,2024 Allison Honz
bh13,Bruno Sleeping Outside,Bruno asleep outside in the backyard. ,"West Des Moines, Iowa",2025-08-05,2:34:12 PM,17,Laying,PNG,IMG_2203.png,15.4 MB,2025 Allison Honz
bh14,Bruno Wants a Treat,Bruno standing nearby hoping to get a treat. ,"West Des Moines, Iowa",2025-08-27,6:07:23 PM,17,Standing,PNG,IMG_0682.png,14.3 MB,2025 Allison Honz
bh15,Bruno on a Pillow,Bruno sleeping on a pillow on the patio.,"West Des Moines, Iowa",2025-12-14,3:31:21 PM,17,Laying,PNG,IMG_7288.png,16.9 MB,2025 Allison Honz